язык,семья,ареал,p,t,k,b,d,g,сколько взрывных фонем
Itbayat,Austronesian,Papunesia,1,0,1,1,1,1,5
Tukang Besi North,Austronesian,Papunesia,1,1,1,1,0,1,5
Indonesian Bajau,Austronesian,Papunesia,1,0,1,1,0,1,4
Sundanese,Austronesian,Papunesia,1,0,1,1,1,1,5
Biak,Austronesian,Papunesia,1,1,1,1,1,0,5
Ngad''a,Austronesian,Papunesia,1,1,1,1,0,1,5
Roro,Austronesian,Papunesia,1,1,1,1,0,0,4
Tausug,Austronesian,Papunesia,1,0,1,1,1,1,5
Leti,Austronesian,Papunesia,1,1,1,0,1,0,4
Nias,Austronesian,Papunesia,0,1,1,1,1,1,5
Palauan,Austronesian,Papunesia,0,1,1,1,1,0,4
Buol,Austronesian,Papunesia,1,0,1,1,1,1,5
Cocos Islands Malay,Austronesian,Papunesia,1,0,1,1,1,1,5
Filipino,Austronesian,Papunesia,1,0,1,1,0,1,4
Central Sama,Austronesian,Papunesia,1,0,1,1,1,1,5
Petats,Austronesian,Papunesia,1,1,1,1,0,1,5
Tetum,Austronesian,Papunesia,1,0,1,1,0,0,3
Chamorro,Austronesian,Papunesia,0,1,1,1,1,1,5
Waima,Austronesian,Papunesia,1,0,1,1,0,0,3
Tigak,Austronesian,Papunesia,1,1,1,1,0,1,5
Satawalese,Austronesian,Papunesia,1,0,1,0,0,1,3
Wogeo,Austronesian,Papunesia,0,0,1,1,0,1,3
Siang,Austronesian,Papunesia,1,1,1,1,0,0,4
Indonesian,Austronesian,Papunesia,1,0,1,1,1,1,5
Kedayan,Austronesian,Papunesia,1,0,1,1,1,1,5
Paiwan,Austronesian,Papunesia,1,0,1,1,0,1,4
Selaru,Austronesian,Papunesia,0,1,1,1,1,0,4
Ilocano,Austronesian,Papunesia,1,0,1,1,0,1,4
Barasano,Tucanoan,South America,0,1,1,1,1,1,5
Cubeo,Tucanoan,South America,1,1,1,1,1,0,5
Tanimuca-Retuarã,Tucanoan,South America,1,1,1,1,1,0,5
Kubeo,Tucanoan,South America,1,1,1,1,1,0,5
Secoya,Tucanoan,South America,1,1,1,0,1,0,4
Macuna,Tucanoan,South America,0,1,1,1,1,1,5
Kawaiisu,Uto-Aztecan,North America,1,0,1,1,0,0,3
Cakchiquel ,Mayan,North America,1,1,1,1,0,0,4
Chicomuceltec ,Mayan,North America,1,1,1,1,0,0,4
Chuj,Mayan,North America,1,1,1,1,0,0,4
Chol,Mayan,North America,1,1,1,1,0,0,4
Chortí ,Mayan,North America,1,1,1,1,0,0,4
Chontal (Maya),Mayan,North America,1,1,1,1,1,0,5
Coeur d'Alene,Salishan,North America,1,1,0,1,1,0,4
Tunebo (Central dialect),Chibchan,South America,0,1,1,1,0,0,3
Barí,Chibchan,South America,0,1,1,1,1,0,4
Awtuw,Sepik,Papunesia,1,1,1,0,1,0,4
Western Cham,Austronesian,Eurasia,1,1,1,1,1,0,5
Atikamekw ,Algic,North America,1,1,1,1,1,0,5
Arapaho,Algic,North America,0,1,1,1,0,0,3
Jamamadí,Arawan,South America,0,1,1,1,1,0,4
Jarawara,Arawan,South America,0,1,1,1,0,0,3
Kulina,Arawan,South America,1,1,1,1,1,0,5
Tsáfiki,Barbacoan,South America,1,1,1,1,1,0,5
Alabama,Muskogean,North America,1,1,1,1,0,0,4
Chickasaw,Muskogean,North America,1,1,1,1,0,0,4
Choctaw,Muskogean,North America,1,1,1,1,0,0,4
Biloxi,Siouan,North America,1,1,1,0,1,1,5
I'saka,Sko,Papunesia,1,1,1,1,1,0,5
Skou,Sko,Papunesia,1,1,1,1,0,0,4
Vanimo,Sko,Papunesia,1,1,0,1,1,0,4
Amanab,Border,Papunesia,1,1,1,1,0,1,5
Boruca,Chibchan,North America,0,1,1,1,1,1,5
Bribri,Chibchan,North America,1,1,1,1,1,0,5
Buglere,Chibchan,North America,0,1,1,1,1,1,5
Caddo,Caddoan,North America,1,1,1,1,1,0,5
